Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
LNG,Clean Energy - Chicago Stevenson Expressway,4220 W 36th St,,Chicago,IL,60632,,866-809-4869,P,2014-06-15,PLANNED - not yet accessible (Public - Card key at all times),24 hours daily; Call 866-809-4869 for Clean Energy card,CleanEnergy,,,,,,,,,,200-8,41.8273129,-87.7289759,2014-04-04,43712,2014-04-04 18:54:09 UTC,P,,,,,HD,,,
ELEC,Mid City Nissan,4444 W Irving Park Rd,,Chicago,IL,60641,,773-282-6200,E,,Private,,,,,,,1,,,,,200-8,41.953683,-87.7396481,2014-04-21,46807,2014-04-21 18:26:46 UTC,P,,,2012-01-31,,,,,J1772
ELEC,O'Hare Airport - Short Term Parking,10000 Bessie Coleman Dr,Located in row 2 on the first floor,Chicago,IL,60666,,,E,,Public,24 hours daily; pay lot,,,,,,1,,,,,200-8,41.9812852,-87.8851447,2013-12-31,40794,2014-04-21 18:23:55 UTC,P,,,2011-02-11,,,,,J1772
ELEC,INTERPARK,326 S Wells St,,Chicago,IL,60607,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.877275,-87.634144,2014-09-16,36612,2014-09-16 07:45:52 UTC,,,,,,,,,NEMA520 J1772
ELEC,Mid City Nissan,4444 W Irving Park Rd,,Chicago,IL,60641,,773-282-6200,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-8,41.953683,-87.7396481,2014-04-21,46806,2014-04-21 18:26:46 UTC,P,,,2012-01-31,,,,,J1772
CNG,Clean Energy - Yellow Cab,540 W Grenshaw,S Jefferson St & W Grenshaw St,Chicago,IL,60607,,562-493-2804  866-809-4869  312-362-9176,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp CleanEnergy,,Q,3600,,,,,,,GPS,41.868414,-87.641917,2013-07-31,47275,2014-01-20 18:40:14 UTC,P,,,2011-03-08,,MD,,,
ELEC,900 N MICHIGAN,911 North Rush Street,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,2,3,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8994924,-87.6268915,2014-09-16,56874,2014-09-16 07:46:39 UTC,,,,,,,,,NEMA520 J1772
ELEC,CHARGEPOINT-JNS,6140 N Western Ave,,Chicago,IL,60659,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.9934665,-87.690114,2014-09-16,40803,2014-09-16 07:30:45 UTC,,,,,,,,,J1772
ELEC,PARKING A,6054-6098 S Drexel Ave,,Chicago,IL,60637,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.784474,-87.6045178,2014-09-16,60584,2014-09-16 07:34:09 UTC,,,,,,,,,J1772
ELEC,CHARGEPOINT-JNS,5450 N Clark St,,Chicago,IL,60640,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.981361,-87.668797,2014-09-16,63106,2014-09-16 07:30:23 UTC,,,,,,,,,J1772
ELEC,Zipcar - Chestnut Street Garage,260 E Chestnut St,350Green. West of N Lake Shore Drive on Chestnut St; Immediately right of garage entrance,Chicago,IL,60611,,847-577-3575,E,,Private,24 hours daily; pay lot; Zipcar use only,,,,,,1,,,,,GPS,41.898827,-87.619598,2013-12-31,43144,2014-04-21 18:24:43 UTC,P,,,2011-11-10,,,,,J1772
ELEC,640 N. LASALLE,640 N LaSalle St,,Chicago,IL,60290,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8935938,-87.632785,2014-09-16,58302,2014-09-16 08:04:53 UTC,,,,,,,,,J1772
ELEC,CHARGEPOINT-JNS,6201 S Cicero Ave,,Chicago,IL,60629,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.7815157,-87.7418991,2014-09-16,43152,2014-09-16 07:30:37 UTC,,,,,,,,,J1772
CNG,City of Chicago FS#9,25 W 65th St,65th and State,Chicago,IL,60621,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-8,41.7764073,-87.6262226,2013-10-31,33144,2014-01-20 18:52:04 UTC,LG,,,2008-07-15,,HD,,,
ELEC,MILLENNIUM GRGS,5 S Columbus Dr,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,2,,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8826102,-87.620989,2014-09-16,36361,2014-09-16 07:45:00 UTC,,,,,,,,,NEMA520
ELEC,INTERPARK,203 N LaSalle Blvd,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8860134,-87.6320895,2014-09-16,56805,2014-09-16 07:34:11 UTC,,,,,,,,,NEMA520 J1772
CNG,Clean Energy - Chicago North Kimball,3330 N Kimball Ave,,Chicago,IL,60618,,866-809-4869,P,2014-06-15,PLANNED - not yet accessible (Public - Credit card at all times),24 hours daily; Call 866-809-4869 for Clean Energy card; Also accepts TranStar,CleanEnergy D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-8,41.942027,-87.712958,2014-04-04,60958,2014-04-04 19:00:39 UTC,P,,,,,MD,,,
ELEC,CHARGEPOINT-JNS,5753 N Canfield Ave,,Chicago,IL,60631,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.9848542,-87.8226889,2014-09-16,40796,2014-09-16 07:30:24 UTC,,,,,,,,,J1772
ELEC,Zipcar - Monroe Street Garage,525 W Monroe St,,Chicago,IL,60661,,,E,,Private - Fleet customers only,24 hours daily; pay lot; Zipcar use only,,,,,,1,,,,,200-8,41.88047,-87.6398,2012-11-30,50076,2014-09-03 19:22:44 UTC,P,,,2012-07-01,,,,,J1772
ELEC,INTERPARK,181 N Dearborn St,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8852693,-87.6290821,2014-09-16,37165,2014-09-16 07:34:11 UTC,,,,,,,,,NEMA520 J1772
E85,Kean Brothers Oil Co,2632 W 111th St,At Talman Ave,Chicago,IL,60655,,773-445-3626,E,,Public,"5:30am-10pm M-F, 6am-10pm Sat, 7am-8pm Sun",Cash A D M V,,,,,,,,,,200-8,41.691997,-87.687613,2013-10-31,20845,2014-01-20 18:52:22 UTC,P,,,2001-01-15,,,,false,
ELEC,CHARGEPOINT-JNS,1334 E 79th St,,Chicago,IL,60619,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.7520616,-87.590274,2014-09-16,63126,2014-09-16 07:30:25 UTC,,,,,,,,,J1772
ELEC,Intercontinental - Chicago Magnificent Mile,505 N Michigan Ave,,Chicago,IL,60611,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,41.8913113,-87.6240589,2014-09-15,51803,2014-09-15 07:12:11 UTC,,,,,,,,,J1772
ELEC,SOLDIER FIELD,1400 S Linn White Dr,,Chicago,IL,60605,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8604711,-87.6100168,2014-09-16,61637,2014-09-16 07:45:54 UTC,,,,,,,,,NEMA520 J1772
ELEC,CHARGEPOINT-JNS,760 W Taylor St,,Chicago,IL,60607,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8697153,-87.6458515,2014-09-16,43140,2014-09-16 07:30:35 UTC,,,,,,,,,J1772
ELEC,SOLDIER FIELD,1448-1468 Museum Campus Dr,,Chicago,IL,60605,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8638,-87.6157227,2014-09-16,41000,2014-09-16 07:50:23 UTC,,,,,,,,,NEMA520 J1772
ELEC,3RD FLOOR,60 W Kinzie St,,Chicago,IL,60661,,888-758-4389,E,,Public,24 hours daily,,,,,,6,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.889367,-87.6302287,2014-09-16,58326,2014-09-16 08:05:20 UTC,,,,,,,,,J1772
CNG,Clean Energy - Chicago Grenshaw,1121 S Jefferson,,Chicago,IL,60607,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; Call 866-809-4869 for Clean Energy card,CleanEnergy D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-8,41.868512,-87.64160419999999,2014-04-04,60931,2014-04-04 18:54:06 UTC,P,,,2014-03-30,,MD,,,
ELEC,CHARGEPOINT-JNS,1649 W Belmont Ave,,Chicago,IL,60657,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.9394826,-87.6704535,2014-09-16,40801,2014-09-16 07:46:48 UTC,,,,,,,,,J1772
ELEC,INTERPARK,318 S Federal St,,Chicago,IL,60604,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8773356,-87.6299912,2014-09-16,37164,2014-09-16 07:45:48 UTC,,,,,,,,,NEMA520 J1772
ELEC,LAKE SHORE,225 N Columbus Dr,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,6,6,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8865294,-87.6200469,2014-09-16,56839,2014-09-16 07:46:10 UTC,,,,,,,,,NEMA520 J1772
ELEC,CHARGEPOINT-JNS,701 W Maxwell St,,Chicago,IL,60607,,888-758-4389,E,,Public,24 hours daily,,,,,,3,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8647832,-87.6454375,2014-09-16,42706,2014-09-16 07:30:42 UTC,,,,,,,,,J1772
E85,City of Chicago FS#9,25 W 65th St,65th and State,Chicago,IL,60621,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.7764073,-87.6262226,2013-10-31,33087,2014-01-20 18:52:04 UTC,LG,,,2010-03-15,,,,false,
ELEC,INTERPARK,17 E Adams St,,Chicago,IL,60603,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8794458,-87.6269874,2014-09-16,36611,2014-09-16 07:45:47 UTC,,,,,,,,,NEMA520 J1772
ELEC,O'Hare International Airport ,10000 Bessie Coleman Dr,350Green. Located on ground floor of short term parking near center elevator,Chicago,IL,60666,,847-577-3573,E,,Public,24 hours daily; pay lot,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.98563766,-87.88509369,2013-12-31,44877,2014-04-21 18:25:30 UTC,P,,,2012-03-15,,,,,J1772
ELEC,INTERPARK,211 W Adams St,,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8790815,-87.6345612,2014-09-16,36613,2014-09-16 07:34:10 UTC,,,,,,,,,NEMA520 J1772
ELEC,City of Chicago,1685 N Throop St,,Chicago,IL,60642,,,E,,Private,,,,,,1,,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.91435,-87.6622,2013-11-30,35270,2014-04-21 18:23:01 UTC,LG,,,2009-08-15,,,,,NEMA520
ELEC,Illinois Institute of Technology,3201 S State St,Northeast Corner of 32nd and State Street,Chicago,IL,60616,,312-567-8968,E,,Public,24 hours daily,,,,,,6,1,,,,GPS,41.83545303,-87.62598419,2013-12-31,46990,2014-04-21 18:26:49 UTC,P,,,2012-03-16,,,,,J1772 CHADEMO
ELEC,BH RESIDENTIAL,730 S Clark St,,Chicago,IL,60605,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.873,-87.630961,2014-09-16,55682,2014-09-16 07:34:54 UTC,,,,,,,,,J1772
LPG,U-Haul,4301 N Cicero Ave,,Chicago,IL,60641,,773-286-4507,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 8am-6pm Sun",Cash A D M V,,,,,,,,,,200-8,41.9587882,-87.7472764,2013-10-31,19925,2014-03-05 14:17:10 UTC,P,,,,,,true,,
ELEC,ATC,3201 S State St,,Chicago,IL,60616,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8354225,-87.6259842,2014-09-16,42149,2014-09-16 07:49:02 UTC,,,,,,,,,J1772
ELEC,PARKING GARAGE,111 S Wacker Dr,,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8801644,-87.6364831,2014-09-16,61218,2014-09-16 08:06:57 UTC,,,,,,,,,J1772
ELEC,CHARGEPOINT-JNS,900 S Clark St,,Chicago,IL,60605,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8703078,-87.6309085,2014-09-16,63131,2014-09-16 07:30:35 UTC,,,,,,,,,J1772
E85,Mobil,850 E 63rd St,,Chicago,IL,60637,,773-955-9245,E,,Public,24 hours daily,Cash A D M V FuelMan Voyager Wright_Exp,,,,,,,,,,200-8,41.780708,-87.603996,2013-10-31,36912,2014-01-20 19:31:18 UTC,P,,,2010-05-30,,,,false,
E85,Midway Marathon,8145 S Pulaski,,Chicago,IL,60652,,773-585-8912,E,,Public,24 hours daily,Cash A D M V FuelMan Voyager Wright_Exp,,,,,,,,,,200-8,41.7446907,-87.721736,2013-10-31,33072,2014-01-20 19:06:06 UTC,P,,,2008-05-15,,,,false,
E85,City of Chicago FS#3,4233 W Ferdinand,Ferdinand and Tripp,Chicago,IL,60624,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.8893383,-87.7303848,2013-10-31,33086,2014-01-20 18:52:04 UTC,LG,,,2008-06-15,,,,false,
ELEC,400 East Randolph Street Condominiums,400 E Randolph St,,Chicago,IL,60601,,,E,,Private,Resident and guest use only,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.88372421,-87.61614,2013-11-30,48053,2014-04-21 18:27:35 UTC,P,,,2012-05-31,,,,,J1772
ELEC,Whole Foods Market ,6020 N Cicero Ave,"At Peterson, east of the Edens. Located in lower parking garage along back wall",Chicago,IL,60646,,847-577-3575,E,,Public,Market business hours; pay lot,,,,,,2,,,,,GPS,41.99093246,-87.74816895,2013-12-31,42157,2014-04-21 18:24:23 UTC,P,,,2011-10-25,,,,,J1772
CNG,City of Chicago FS#6,10101 S Stoney Island,101st and Stony Island,Chicago,IL,60617,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-8,41.712605,-87.58196,2013-10-31,33141,2014-01-20 18:52:04 UTC,LG,,,2008-07-15,,HD,,,
ELEC,Walgreens ,5625 N Ridge,350Green. N Broadway & N Ridge,Chicago,IL,60660,,847-577-3575,E,,Public,24 hours daily,,,,,,1,,,,,200-8,41.984311,-87.660361,2013-12-31,43842,2014-04-21 18:25:04 UTC,P,,,2012-02-20,,,,,J1772
